,competition,game,team,role,player,rater,is_human,rate,goals,assists,shots_ontarget,shots_offtarget,shots_blocked,chances_to_score,drib_success,drib_unsuccess,key_passes,touches,passes_acc,passes_inacc,crosses_acc,crosses_inacc,lballs_acc,lballs_inacc,grduels_w,grduels_l,aerials_w,aerials_l,poss_lost,fouls,was_fouled,clearances,stop_shots,interceptions,tackles,dribbled_past,tballs_acc,tballs_inacc,yellow_cards,red_cards,dang_mistakes,countattack,offsides,missed_penalties,own_goals,degree_centrality,betweenness_centrality,closeness_centrality,flow_centrality,flow_success,betweenness_to_goals,win,lost,is_home_team,mins,game_duration
328,euro_2016,"Poland - Northern Ireland, 1 - 0",Northern Ireland,DC,Gareth McAuley,WhoScored,0,6.83,0,0,0,0,0,0,0,0,0,41,23,3,0,0,3,2,3,2,6,4,5,1,0,2,2,1,3,1,0,1,0,0,1,0,0,0,0,0.928571429,0.164361346,0.642857143,0.388888889,0.0,0.0,0,1,0,90,90
329,euro_2016,"Turkey - Croatia, 0 - 1",Croatia,DR,Darijo Srna,WhoScored,0,8.08,0,0,0,1,0,1,0,0,2,65,30,5,3,8,3,1,5,3,1,1,17,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1.416666667,0.194485668,0.694444444,0.46875,2.268803127,0.0,1,0,0,90,90
330,euro_2016,"Turkey - Croatia, 0 - 1",Croatia,DR,Darijo Srna,SofaScore,0,7.7,0,0,0,1,0,1,0,0,2,65,30,5,3,8,3,1,5,3,1,1,17,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1.416666667,0.194485668,0.694444444,0.46875,2.268803127,0.0,1,0,0,90,90
331,euro_2016,"Turkey - Croatia, 0 - 1",Croatia,DR,Darijo Srna,TheGuardian,1,8.0,0,0,0,1,0,1,0,0,2,65,30,5,3,8,3,1,5,3,1,1,17,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1.416666667,0.194485668,0.694444444,0.46875,2.268803127,0.0,1,0,0,90,90
332,euro_2016,"Turkey - Croatia, 0 - 1",Croatia,DR,Darijo Srna,Kicker,1,2.5,0,0,0,1,0,1,0,0,2,65,30,5,3,8,3,1,5,3,1,1,17,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1.416666667,0.194485668,0.694444444,0.46875,2.268803127,0.0,1,0,0,90,90
333,euro_2016,"Turkey - Croatia, 0 - 1",Turkey,MC,Ozan Tufan,Kicker,1,4.0,0,0,1,1,0,2,0,3,0,49,29,6,0,0,1,2,6,5,1,2,10,2,1,0,0,2,5,1,1,1,0,0,0,0,0,0,0,1.571428571,0.299898009,0.754464286,0.411764706,1.591295381,0.0,0,1,0,90,90
334,euro_2016,"Turkey - Croatia, 0 - 1",Turkey,MC,Ozan Tufan,SofaScore,0,7.2,0,0,1,1,0,2,0,3,0,49,29,6,0,0,1,2,6,5,1,2,10,2,1,0,0,2,5,1,1,1,0,0,0,0,0,0,0,1.571428571,0.299898009,0.754464286,0.411764706,1.591295381,0.0,0,1,0,90,90
335,euro_2016,"Turkey - Croatia, 0 - 1",Turkey,MC,Ozan Tufan,TheGuardian,1,5.0,0,0,1,1,0,2,0,3,0,49,29,6,0,0,1,2,6,5,1,2,10,2,1,0,0,2,5,1,1,1,0,0,0,0,0,0,0,1.571428571,0.299898009,0.754464286,0.411764706,1.591295381,0.0,0,1,0,90,90
336,euro_2016,"Turkey - Croatia, 0 - 1",Turkey,MC,Ozan Tufan,WhoScored,0,7.12,0,0,1,1,0,2,0,3,0,49,29,6,0,0,1,2,6,5,1,2,10,2,1,0,0,2,5,1,1,1,0,0,0,0,0,0,0,1.571428571,0.299898009,0.754464286,0.411764706,1.591295381,0.0,0,1,0,90,90
337,euro_2016,"Poland - Northern Ireland, 1 - 0",Poland,ML,Bartosz Kapustka,WhoScored,0,7.17,0,0,1,2,1,1,2,0,0,52,33,6,1,0,2,2,7,8,0,2,10,3,1,0,0,3,2,0,0,0,1,0,0,1,0,0,0,1.230769231,0.15304533,0.65158371,0.364864865,2.495875212,0.0,1,0,0,88,90
